1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1402.699817	1501.396961	1614.038351	1488.761516	1638.544791	1797.277707	1858.755054	1954.43742	2076.195067	1520.642206	1661.919181	1577.725082	1684.89899	2037.391526	2431.967777	1487.431874	2020.009252	2478.128635	2170.801962	2754.743573	2840.168905	1628.165624	1965.076337	2052.256488	1528.909499	1552.682821	1790.26106	1871.037237	2212.545309	2079.496	767.4643798	983.1562064	1032.017118	2374.236534	1545.133135	2364.695531	2037.642853	1151.26439	1377.755185	1802.050817	2299.251703	1345.384925	1397.856357	1380.984689	1302.543129	1971.641824	1722.954756	1842.540168	1912.85885	2152.077331	1389.247875	1717.397522	1665.580371	1699.390089	1871.061825	1824.335406	2179.582325	2133.459418	2126.859715	2244.897957	2198.757193	2441.558417	2536.494463	2636.720425	2980.505692	2663.183247	2204.690443	2578.859809	2781.845321	2655.283603	3024.725176	2190.636744	2355.644492	2256.415767	2554.626596	2005.005648	2333.506937	2158.415689	829.8693704	1174.597664	2839.580977	2775.239737	1603.047277	1844.847354	2084.644555	2262.924712	2088.105889	1934.702583	2393.041149	2536.95462	1666.190602	1739.169963	2046.583576	1450.884669	1713.682303	1471.012582	2145.573478	2172.655381	1954.751896	2148.862577
1402.270608	1491.629126	1609.275466	1490.462218	1642.519629	1760.980585	1856.359889	1943.175785	2059.993258	1508.107036	1640.184512	1558.457854	1668.929419	2013.653194	2404.811153	1484.942284	2011.614396	2477.208804	2158.974598	2755.513909	2793.158808	1619.006551	1937.110408	2040.482775	1520.47651	1519.974492	1782.888855	1851.465986	2203.942026	2068.135881	766.4430332	980.4404168	1033.253604	2371.662959	1532.293281	2367.220867	2036.957982	1148.525925	1372.053544	1790.57276	2304.780519	1338.597028	1383.905904	1358.735044	1280.54705	1962.887833	1721.777928	1833.338178	1885.89112	2148.732108	1391.516445	1701.2572	1657.817254	1696.003719	1841.083639	1799.433502	2149.12027	2119.852241	2088.510545	2154.8163	2096.243015	2407.393273	2507.212942	2587.754728	2955.133874	2620.041402	2183.269219	2570.094344	2765.572147	2647.104759	2987.065498	2164.148494	2312.445457	2205.001464	2512.770705	1949.491399	2327.944609	2132.395139	824.108535	1166.407933	2822.210576	2780.687805	1577.000626	1812.943636	2068.687344	2255.003319	2091.163171	1912.146464	2391.538818	2511.00502	1661.790997	1740.525048	2016.124588	1441.357245	1661.864232	1450.447998	2129.702071	2154.533394	1914.14555	2141.741315
1384.753556	1480.325722	1582.860558	1480.962792	1636.646936	1750.533901	1841.676814	1931.282127	2042.63856	1509.564793	1636.580114	1558.298092	1644.041125	2007.492412	2399.20636	1473.059241	1992.223072	2461.493784	2139.465513	2745.137636	2805.665048	1620.109817	1940.564566	2017.456959	1515.990985	1546.734086	1770.090665	1840.947195	2178.418138	2062.192281	757.1604093	977.7230166	1034.926833	2361.964793	1540.792429	2334.709221	2020.395002	1145.09004	1373.067089	1795.129272	2293.184648	1333.855776	1393.439759	1375.459636	1296.164573	1960.651546	1716.498103	1828.924254	1878.225041	2143.878967	1375.485166	1684.488571	1651.749467	1696.093103	1827.871068	1785.207904	2160.916503	2116.853904	2115.278582	2218.569989	2177.358236	2372.341488	2468.744308	2582.747207	2935.008347	2626.649978	2204.877134	2537.482088	2750.897111	2629.284348	2998.905441	2176.085136	2320.566726	2251.216776	2511.347517	1996.946805	2300.362462	2122.935593	818.2358884	1176.75468	2801.346308	2774.863093	1596.619657	1842.955187	2059.885781	2243.447662	2077.335471	1911.406532	2377.437103	2515.380181	1656.488159	1726.722045	2026.175057	1435.465224	1703.493654	1467.880197	2131.190582	2149.392371	1926.820183	2139.026622
1384.8846	1477.063279	1560.314663	1472.152624	1621.0691	1717.143567	1822.827169	1909.294458	2020.535265	1503.884144	1627.607657	1552.194044	1640.501858	1988.468419	2388.397232	1468.896516	1988.320206	2457.112212	2132.736128	2714.861237	2805.642586	1622.760225	1936.958437	2011.862466	1515.951205	1548.294965	1766.132222	1845.381842	2169.567729	2065.913919	770.3402798	977.8793657	1034.662686	2361.039182	1542.546862	2312.903376	2010.127422	1147.492159	1374.433355	1792.184578	2282.979356	1343.363848	1397.664266	1369.584507	1289.450579	1963.774504	1723.411607	1828.037065	1865.174512	2138.54975	1379.210256	1678.051873	1656.68972	1686.297663	1798.437548	1755.390739	2140.266493	2097.632326	2100.10193	2212.641668	2167.00793	2362.294848	2463.320146	2566.42313	2941.53925	2612.150899	2185.564717	2547.278343	2757.82855	2628.121305	2990.909817	2172.729544	2319.653633	2235.746859	2510.703323	1995.469308	2297.366302	2129.607885	822.5251893	1167.245178	2803.354932	2778.26313	1582.120542	1837.808668	2042.385195	2249.659899	2073.352904	1912.857611	2363.568189	2496.91845	1661.161323	1735.027901	2025.351993	1440.261821	1699.823069	1458.13909	2125.957179	2145.249396	1900.107295	2122.02202
1372.286864	1470.868844	1531.004537	1468.278639	1614.827983	1686.184728	1807.877652	1893.542964	1995.566726	1501.539616	1628.391332	1552.215583	1637.208478	1968.952972	2378.060344	1465.762117	1987.024074	2434.288112	2123.94514	2676.842672	2791.228334	1625.542159	1928.958835	2014.680247	1513.96715	1541.32713	1765.894651	1837.953114	2159.237197	2057.003243	765.2650768	980.1593877	1032.829561	2362.89767	1539.977398	2288.553864	2002.766475	1147.202474	1371.886547	1780.696505	2276.943025	1338.281581	1394.891182	1363.280871	1281.916047	1952.199404	1719.791153	1822.239169	1837.25847	2127.321747	1370.661491	1662.32414	1645.094041	1677.49549	1782.754579	1721.938931	2121.273015	2071.203424	2095.010896	2207.577482	2156.622826	2361.715812	2463.818447	2544.931358	2931.815682	2605.674113	2166.616019	2536.100519	2752.293784	2618.471975	2966.32396	2173.380949	2311.734967	2212.625286	2511.052147	1983.408392	2282.722542	2117.506364	823.5781284	1167.956173	2788.319437	2767.770784	1576.352577	1831.65148	2043.58064	2246.940989	2064.165627	1912.606301	2344.765892	2481.005391	1657.558054	1733.218284	2017.526699	1436.800429	1698.145242	1450.387084	2118.138955	2136.449839	1876.415924	2100.443972
1368.819379	1482.703013	1532.863546	1477.786552	1627.503484	1689.061515	1815.356879	1904.55596	2002.997882	1511.185593	1643.520529	1566.894328	1649.491539	1988.846216	2390.846582	1472.193706	1999.440437	2443.29024	2136.888623	2677.159367	2805.969611	1636.592095	1942.30162	2031.944492	1519.989853	1554.520447	1774.401453	1848.997349	2167.137142	2070.727475	769.8390071	982.8296903	1038.813127	2369.546678	1548.995435	2284.334588	2002.152702	1147.025652	1373.677876	1787.061148	2288.151731	1344.2359	1399.827756	1366.159049	1289.238713	1961.568359	1729.93698	1824.086647	1834.60966	2126.923165	1369.280325	1670.836049	1640.967795	1688.752274	1801.545537	1729.672979	2128.938774	2071.353806	2102.398043	2232.978793	2175.345335	2375.359878	2482.026287	2567.34925	2942.876639	2618.150614	2162.589027	2549.826632	2762.943649	2630.03197	2973.599002	2184.267318	2324.910015	2207.803579	2524.70222	1998.414463	2292.142545	2131.72372	823.3921013	1170.942921	2806.363322	2779.104692	1581.262665	1839.095438	2051.980363	2256.77182	2068.518192	1924.193467	2342.999689	2491.142139	1661.010301	1728.720808	2009.181837	1444.085634	1707.712438	1456.194176	2123.35301	2143.012966	1878.563435	2105.183383
1361.979123	1484.776853	1539.315639	1487.32688	1633.261786	1696.658623	1817.675464	1907.077042	2003.598625	1513.639783	1646.731552	1565.373759	1652.858327	1994.052598	2380.639497	1475.764032	2000.187336	2438.027069	2129.404695	2682.610079	2798.619586	1625.681816	1933.229789	2029.661126	1525.102886	1551.463443	1768.520044	1852.622858	2163.445213	2072.374463	766.5592629	982.1337755	1036.292265	2371.073151	1544.939741	2278.540927	2004.746633	1144.440487	1371.919405	1781.82695	2283.469129	1347.159095	1404.164917	1369.068072	1287.771807	1956.322648	1724.219553	1823.261927	1833.3846	2119.274942	1357.426142	1676.220929	1644.627044	1701.209751	1809.83459	1727.953942	2133.740224	2069.996561	2106.334382	2232.252567	2171.665384	2384.633825	2486.317145	2582.138533	2948.400366	2613.227549	2160.678293	2549.41935	2762.372408	2623.295004	2965.138622	2172.082423	2323.027015	2202.911136	2525.209423	1999.148695	2281.268145	2131.484912	820.4820344	1167.068968	2800.581088	2773.054645	1585.071833	1839.701429	2053.365019	2254.245636	2068.623613	1923.719402	2333.830484	2493.930242	1659.009104	1719.074049	2008.276666	1449.367176	1711.536255	1456.058421	2118.275564	2134.561287	1874.690908	2103.725307
1373.356362	1494.87461	1548.813151	1492.153324	1643.273456	1710.249222	1824.326953	1917.682927	2012.242488	1512.772736	1643.465211	1557.586556	1657.005742	1998.176762	2378.673704	1479.492718	2003.026623	2444.115008	2138.516733	2693.471767	2796.187034	1623.442919	1933.379242	2025.735295	1524.687206	1540.292032	1779.430881	1849.451195	2160.321185	2061.831594	766.477939	986.4241598	1042.84427	2381.348568	1550.341445	2296.729434	2006.019703	1148.871648	1373.736531	1790.953475	2295.27493	1341.0443	1406.539217	1370.688887	1298.806575	1964.203974	1735.615176	1837.24869	1850.703341	2129.875934	1367.048044	1689.68799	1649.943215	1710.685762	1822.238087	1736.236603	2144.028406	2080.589391	2110.414301	2229.099121	2177.081397	2389.426687	2490.018412	2597.354235	2946.70743	2608.352116	2167.635061	2565.425793	2767.310955	2633.419188	2973.518854	2169.470057	2326.752318	2207.685985	2525.907357	1992.40097	2285.9138	2126.399472	824.7141704	1169.065014	2798.307445	2784.714407	1591.191389	1835.965784	2062.791529	2258.90544	2075.632456	1923.586118	2348.398452	2504.394928	1664.233053	1722.309752	2009.498483	1445.916568	1707.450138	1456.390837	2127.228235	2149.916124	1894.893785	2108.428755
1370.620621	1504.465434	1547.326365	1502.474732	1650.406882	1710.668687	1831.51622	1926.280364	2011.38363	1506.654135	1642.10803	1557.53027	1656.37898	1992.39471	2369.787079	1484.856963	1995.92701	2451.401573	2122.165214	2695.028232	2791.786982	1611.974017	1926.628899	2020.959553	1509.883662	1541.544383	1773.958156	1842.045705	2163.471865	2050.901305	763.0065938	981.9405485	1045.125024	2375.714073	1542.506808	2301.346267	2007.945353	1146.093606	1370.174045	1790.967785	2305.471661	1334.244818	1394.008328	1355.295822	1291.948373	1958.170325	1730.815319	1829.249342	1857.303229	2132.60512	1378.254957	1698.535972	1655.386502	1724.226329	1832.58475	1740.895205	2157.854521	2084.823222	2109.846529	2225.652244	2171.329013	2385.766524	2479.028767	2582.816107	2935.32547	2598.736476	2176.825502	2561.129922	2765.850239	2640.969986	2974.166486	2165.492193	2322.75371	2210.330527	2525.992257	1988.765034	2286.736933	2124.717128	818.686718	1164.92228	2798.481047	2786.1386	1581.843705	1832.770619	2055.62817	2246.487928	2074.428731	1918.079639	2353.659524	2505.906007	1662.147683	1724.282037	2009.659279	1431.455282	1694.600341	1452.069956	2116.397189	2144.39038	1895.299746	2116.523208
1371.434412	1499.305571	1547.853579	1500.913838	1648.920859	1693.509094	1826.634041	1920.819925	2000.144854	1498.399549	1620.458738	1548.269234	1641.404928	1962.159285	2353.662077	1476.826047	1980.78511	2444.887176	2105.588348	2685.922726	2771.320477	1613.033839	1919.434592	2009.849559	1514.865264	1538.899592	1769.982714	1837.261793	2151.446357	2041.531988	760.0087082	978.6766084	1038.751518	2368.232731	1535.162988	2285.429908	2003.157351	1143.064491	1363.867453	1775.772013	2289.302202	1326.453048	1387.097174	1358.584095	1289.185873	1949.897388	1720.327018	1823.768087	1844.299761	2119.916466	1359.064169	1688.667699	1649.163327	1728.333972	1809.915972	1725.481847	2153.737399	2070.39287	2101.426553	2207.251803	2167.844053	2378.09239	2468.931663	2550.088989	2905.026099	2581.624269	2169.525793	2533.631511	2743.909155	2625.71097	2961.320523	2169.340011	2307.661154	2205.352689	2518.66658	1996.255212	2277.501855	2122.408114	821.170492	1166.752477	2800.308282	2767.974011	1584.897963	1831.889434	2047.569766	2237.435384	2064.836062	1910.92757	2335.805657	2488.135099	1656.146413	1726.979621	2004.50938	1432.936645	1691.036333	1450.322175	2113.679454	2135.381326	1879.909423	2101.744623
